modelo,media,desvio_padrao,maior_valor,menor_valor
Polinomial,9.951190989190e-01,1.821696019776e-02,9.998430142202e-01,7.131146504522e-01
MQO tradicional,-9.085344685195e-01,6.326843135397e+00,7.783303523423e-01,-8.610699356432e+01
MQO regularizado 0.25,-8.917360935721e-01,6.248780356734e+00,7.779903540351e-01,-8.483530112252e+01
MQO regularizado 0.5,-8.753870616704e-01,6.172998878071e+00,7.784151013571e-01,-8.359968536674e+01
MQO regularizado 0.75,-8.594754987731e-01,6.099436738294e+00,7.787815449331e-01,-8.239917853766e+01
MQO regularizado 1,-8.439898906852e-01,6.028033876020e+00,7.790915441661e-01,-8.123284240628e+01
