modelo,media,desvio_padrao,maior_valor,menor_valor
Polinomial,1.045061979136e+22,1.365392405927e+22,2.223496085491e+23,8.330236525297e+20
MQO tradicional,3.375911582052e+24,2.018411044064e+24,1.163573903159e+25,7.998434401567e+23
MQO regularizado 0.25,3.375808616145e+24,2.032027471896e+24,1.167625911709e+25,7.981000147923e+23
MQO regularizado 0.5,3.375914624476e+24,2.045517906273e+24,1.171646618463e+25,7.965730953540e+23
MQO regularizado 0.75,3.376222641170e+24,2.058882867465e+24,1.175636310934e+25,7.952557714053e+23
MQO regularizado 1,3.376725931687e+24,2.072122956033e+24,1.179595275482e+25,7.941413585998e+23
